participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.offered_wage,player.message,player.fairness_rating,player.answer_1,player.answer_2,player.answer_3,player.answer_4,player.answer_5,player.answer_6,player.answer_7,player.answer_8,player.answer_9,player.answer_10,player.answer_11,player.answer_12,player.answer_13,player.answer_14,player.answer_15,player.answer_16,player.answer_17,player.answer_18,player.answer_19,player.answer_20,player.answer_21,player.answer_22,player.answer_23,player.answer_24,player.answer_25,player.answer_26,player.answer_27,player.answer_28,player.answer_29,player.answer_30,group.id_in_subsession,group.final_wage,group.correct_sums,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,g5lymm6q,2,0,28,28,block2_market,SessionResults,56:21.4,1,,,2,1,,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,27,1,z1k8vr6l,,,,,0
2,td4uusvd,6,0,28,28,block2_market,SessionResults,56:22.4,1,,,7,2,,0,,,4,2,9,12,10,14,5,9,10,8,16,5,16,12,11,9,8,13,9,6,13,10,7,8,13,9,17,12,5,9,3,1,15,27,1,z1k8vr6l,,,,,0
3,w3vo91vu,4,0,28,28,block2_market,SessionResults,56:23.3,1,,,2,1,,0,20,"If you do 30 questions correctly, you get 20 points and I get 10. I hope this is satisfactory! ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,30,1,z1k8vr6l,,,,,0
4,qh89407n,24,0,28,28,block2_market,SessionResults,56:24.2,1,,,2,2,,0,,,5,2,9,12,10,14,5,9,10,8,16,6,16,12,12,9,8,13,9,6,13,11,7,8,13,9,17,12,5,9,3,2,21,30,1,z1k8vr6l,,,,,0
5,ohmek8z0,21,0,28,28,block2_market,SessionResults,56:25.1,1,,,2,1,,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,30,1,z1k8vr6l,,,,,0
6,17lvbjbo,10,0,28,28,block2_market,SessionResults,56:25.4,1,,,2,2,,0,,,3,2,9,12,10,14,5,9,10,8,16,6,16,12,12,9,8,13,9,6,13,11,7,8,13,9,17,12,5,9,3,3,10,30,1,z1k8vr6l,,,,,0
7,rc8lejvm,17,0,28,28,block2_market,SessionResults,56:25.6,1,,,2,1,,0,1,I am offering a fair wage of half because I was the worker last round and was given half wage so I feel I should reciprocate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,29,1,z1k8vr6l,,,,,0
8,426gk1k5,18,0,28,28,block2_market,SessionResults,56:26.0,1,,,2,2,,0,,,5,2,9,12,10,14,5,9,10,8,16,6,19,12,12,9,8,13,9,6,13,11,7,8,13,9,17,12,5,9,3,4,14,29,1,z1k8vr6l,,,,,0
9,3jhcyedg,22,0,28,28,block2_market,SessionResults,56:26.5,1,,,3,1,,0,1,take it or leave it ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,30,1,z1k8vr6l,,,,,0
10,1ye3dw9g,16,0,28,28,block2_market,SessionResults,56:26.5,1,,,2,2,,0,,,1,2,9,12,10,14,5,9,10,8,16,6,16,12,12,9,8,13,9,6,13,11,7,8,13,9,17,12,5,9,3,5,1,30,1,z1k8vr6l,,,,,0
11,k49gy127,7,0,28,28,block2_market,SessionResults,56:26.8,1,,,2,1,,0,7,Your wage is $7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,20,30,1,z1k8vr6l,,,,,0
12,iufmr5c7,13,0,28,28,block2_market,SessionResults,56:27.1,1,,,3,2,,0,,,2,2,9,12,10,14,5,9,10,8,16,6,16,12,12,9,8,13,9,6,13,11,7,8,13,9,17,12,5,9,3,6,20,30,1,z1k8vr6l,,,,,0
13,bbe9sxkj,3,0,28,28,block2_market,SessionResults,56:27.6,1,,,2,1,,0,30,Please do correct math. plsplsplpslpslplsplsplsplplsplsplsslplsplspls🙏🙏🙏🙏 I BEG YOU 🙏🙏 😭😭😭😭🙏🙏🙏 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,30,1,z1k8vr6l,,,,,0
14,sxbc8dfr,23,0,28,28,block2_market,SessionResults,56:28.1,1,,,2,2,,0,,,5,2,9,12,10,14,5,9,10,8,16,6,16,12,12,9,8,13,9,6,13,11,7,8,13,9,17,12,5,9,3,7,20,30,1,z1k8vr6l,,,,,0
15,hrw79ifj,15,0,28,28,block2_market,SessionResults,56:29.6,1,,,2,1,,0,50,Work hard. Lock In. Get Paid. And return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,40,30,1,z1k8vr6l,,,,,0
16,wd7nc8d1,5,0,28,28,block2_market,SessionResults,56:31.9,1,,,2,2,,0,,,3,2,9,12,10,14,5,9,10,8,16,6,16,12,12,9,8,13,9,6,13,11,7,8,13,9,17,12,5,9,3,8,40,30,1,z1k8vr6l,,,,,0
17,7gnacl41,20,0,28,28,block2_market,SessionResults,56:32.7,1,,,2,1,,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,30,1,z1k8vr6l,,,,,0
18,58z4n6a5,19,0,28,28,block2_market,SessionResults,56:33.3,1,,,2,2,,0,,,2,2,9,12,10,14,5,9,10,8,16,6,16,12,12,9,8,13,9,6,13,11,7,8,13,9,17,12,5,9,3,9,10,30,1,z1k8vr6l,,,,,0
19,llzmee18,11,0,28,28,block2_market,SessionResults,56:34.4,1,,,3,1,,0,15,Thanks for your effort. Please do your best on all the problems!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,30,1,z1k8vr6l,,,,,0
20,bbg967jt,14,0,28,28,block2_market,SessionResults,56:35.0,1,,,2,2,,0,,,3,2,9,12,10,14,5,9,10,8,16,6,16,12,12,9,8,13,9,6,13,11,7,8,13,9,17,12,5,9,3,10,15,30,1,z1k8vr6l,,,,,0
21,i0hsbzdj,1,0,28,28,block2_market,SessionResults,56:35.3,1,,,3,1,,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,30,1,z1k8vr6l,,,,,0
22,961y1c5h,8,0,28,28,block2_market,SessionResults,56:35.4,1,,,2,2,,0,,,1,2,9,12,10,14,5,9,10,8,16,6,16,12,12,9,8,13,9,6,13,11,7,8,13,9,17,12,5,9,3,11,5,30,1,z1k8vr6l,,,,,0
23,nx6upnej,12,0,28,28,block2_market,SessionResults,56:36.4,1,,,3,1,,0,200,PLS DO THE MATH CORRECTLY 😭😭😭😭😭😭😭😭😭😭😭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,200,30,1,z1k8vr6l,,,,,0
24,b0k83gas,9,0,28,28,block2_market,SessionResults,56:41.0,1,,,2,2,,0,,,1,2,9,12,10,14,5,9,10,8,16,6,16,12,12,9,8,13,9,6,13,11,7,8,13,9,17,12,5,9,3,12,200,30,1,z1k8vr6l,,,,,0